id,brand_id,name,released_at,body,os,storage,display_size,display_resolution,camera_pixels,video_pixels,ram,chipset,battery_size,battery_type,created_at,updated_at
10008,4,Samsung Galaxy S20,"Released 2020, March 06","163g, 7.9mm thickness","Android 10, up to Android 11, One UI 3.0","128GB storage, microSDXC","6.2""",1440x3200 pixels,64 MP         ,4320p,8 GB RAM ,Exynos 990,4000 mAh ,Li-Ion,10/9/2021 00:43:09,10/9/2021 00:43:09
10011,4,Samsung Galaxy S20 Ultra,"Released 2020, March 15","220g, 8.8mm thickness","Android 10, up to Android 11, One UI 3.0","128GB/512GB storage, microSDXC","6.9""",1440x3200 pixels,108 MP         ,4320p,12/16 GB RAM ,Exynos 990,5000 mAh ,Li-Ion,10/9/2021 00:43:16,10/9/2021 00:43:16
10038,4,Samsung Galaxy M21,"Released 2020, March 23","188g, 8.9mm thickness","Android 10, up to Android 11, One UI 3.1 Core","64GB/128GB storage, microSDXC","6.4""",1080x2340 pixels,48 MP         ,2160p,4/6 GB RAM ,Exynos 9611,6000 mAh ,Li-Po,10/9/2021 00:44:18,10/9/2021 00:44:18
10051,4,Samsung Galaxy M11,"Released 2020, May 4","197g, 9mm thickness","Android 10, up to Android 11, One UI 3.1","32GB/64GB storage, microSDXC","6.4""",720x1560 pixels,13 MP         ,1080p,3/4 GB RAM ,Snapdragon 450,5000 mAh ,Li-Ion,10/9/2021 00:44:50,10/9/2021 00:44:50
10059,4,Samsung Galaxy A11,"Released 2020, May 01","177g, 8mm thickness","Android 10, up to Android 11, One UI 3.1","32GB/64GB storage, microSDXC","6.4""",720x1560 pixels,13 MP         ,1080p,2-4 GB RAM ,Snapdragon 450,4000 mAh ,Li-Po,10/9/2021 00:45:09,10/9/2021 00:45:09
10065,4,Samsung Galaxy A41,"Released 2020, May 22","152g, 7.9mm thickness","Android 10, up to Android 11, One UI 3.1","64GB storage, microSDXC","6.1""",1080x2400 pixels,48 MP         ,1080p,4/8 GB RAM ,Helio P65,3500 mAh ,Li-Po,10/9/2021 00:45:23,10/9/2021 00:45:23
10073,4,Samsung Galaxy A71 5G,"Released 2020, June 15","185g, 8.1mm thickness","Android 10, up to Android 11, One UI 3.0","128GB storage, microSDXC","6.7""",1080x2400 pixels,64 MP         ,2160p,6/8 GB RAM ,Exynos 980,4500 mAh ,Li-Po,10/9/2021 00:45:42,10/9/2021 00:45:42
10075,4,Samsung Galaxy M51,"Released 2020, September 11","213g, 9.5mm thickness","Android 10, up to Android 11, One UI 3.1","128GB storage, microSDXC","6.7""",1080x2400 pixels,64 MP         ,2160p,6/8 GB RAM ,Snapdragon 730G,7000 mAh ,Li-Po,10/9/2021 00:45:46,10/9/2021 00:45:46
10076,4,Samsung Galaxy A31,"Released 2020, April 27","185g, 8.6mm thickness","Android 10, One UI 2.5","64GB/128GB storage, microSDXC","6.4""",1080x2400 pixels,48 MP         ,1080p,4-8 GB RAM ,Helio P65,5000 mAh ,Li-Po,10/9/2021 00:45:49,10/9/2021 00:45:49
10084,4,Samsung Galaxy A51 5G,"Released 2020, April 29","187g, 8.7mm thickness","Android 10, One UI 2","128GB storage, microSDXC","6.5""",1080x2400 pixels,48 MP         ,2160p,6/8 GB RAM ,Exynos 980,4500 mAh ,Li-Po,10/9/2021 00:46:07,10/9/2021 00:46:07
